run_id,experiment,method,n_subjects,permutations_B,data_hash,git,end,ident_accuracy,perm_p,alignment_gain,nonidentifiable_pairs,null_max,per_pair_uncertainty,n_flags,beta,notes
01_brainsync__c4c4c8b7__20260920T061626Z,01_brainsync,brainsync,10,200,47fd824d,6523ad5,2026-09-20T06:16:43Z,1.0,0.004975124378109453,0.0,90,0.6,,,50.0,per_pair_uncertainty unfilled
01_brainsync__c4c4c8b7__20260920T062441Z,01_brainsync,brainsync,12,200,c10a42d9,3970590,2026-09-20T06:25:04Z,1.0,0.004975124378109453,0.0,132,0.4166666666666667,,,28.98189562137408,per_pair_uncertainty unfilled
01_brainsync__6925463e__20260920T062635Z,01_brainsync,brainsync,12,10000,c10a42d9,3970590,2026-09-20T06:28:52Z,1.0,9.999000099990002e-05,0.0,132,0.5,,,28.98189562137408,per_pair_uncertainty unfilled
03_conn_srm__3577061a__20260920T061719Z,03_conn_srm,conn_srm,10,200,47fd824d,6523ad5,2026-09-20T06:17:41Z,1.0,0.004975124378109453,0.0,90,0.6,,,50.0,per_pair_uncertainty unfilled
03_conn_srm__3577061a__20260920T062833Z,03_conn_srm,conn_srm,12,200,870e307a,3970590,2026-09-20T06:28:56Z,1.0,0.004975124378109453,0.0,132,0.4166666666666667,,,28.98189562137408,per_pair_uncertainty unfilled
02_fugw__1d0dedd8__20260920T062456Z,02_fugw,fugw,12,200,c10a42d9,3970590,2026-09-20T06:25:14Z,1.0,0.004975124378109453,0.0,132,0.4166666666666667,,,28.98189562137408,per_pair_uncertainty unfilled
00_noalign__77705ae3__20260920T060657Z,00_noalign,noalign,5,200,05ef5780,6523ad5,2026-09-20T06:07:05Z,1.0,0.004975124378109453,0.0,20,0.6,,,50.0,per_pair_uncertainty unfilled
00_noalign__77705ae3__20260920T061440Z,00_noalign,noalign,9,200,fe653173,6523ad5,2026-09-20T06:14:58Z,1.0,0.004975124378109453,0.0,72,0.5555555555555556,,,50.0,per_pair_uncertainty unfilled
00_noalign__77705ae3__20260920T062756Z,00_noalign,noalign,12,200,03e380e4,3970590,2026-09-20T06:28:20Z,1.0,0.004975124378109453,0.0,132,0.4166666666666667,,,28.98189562137408,per_pair_uncertainty unfilled
11_ours_ablated__a234447f__20260920T062933Z,11_ours_ablated,ours_ablated,12,200,870e307a,3970590,2026-09-20T06:29:49Z,1.0,0.004975124378109453,0.0,132,0.4166666666666667,,132,28.98189562137408,per_pair_uncertainty unfilled
10_ours_full__0963e0b9__20260920T061730Z,10_ours_full,ours_full,10,200,47fd824d,6523ad5,2026-09-20T06:17:49Z,1.0,0.004975124378109453,0.0,90,0.6,,90,50.0,per_pair_uncertainty unfilled
10_ours_full__8537d81e__20260920T062907Z,10_ours_full,ours_full,12,200,870e307a,3970590,2026-09-20T06:29:25Z,1.0,0.004975124378109453,0.0,132,0.4166666666666667,,132,28.98189562137408,per_pair_uncertainty unfilled
